"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","COUNT_YRS","WEA_MAX","avg_val","yrs_with_revenue","yrs_excluded_conf","yrs_zero_wea_revenue","Demographics","Gent","region","lease_status"
"HAMPTON, VA",0.0356,0.0095,0.0886,17,1828028.17428571,665766.724507,17,0,0,NA,NA,"MidAtlantic","Non-active leases"
"BOSTON, MA",0.0643,0.0483,0.0973,17,1623669.034,1319106.85058911,17,0,0,1,1,"NewEngland","Non-active leases"
"OCEAN CITY, MD",0.0385,0.0212,0.0856,17,1168664.15774648,339059.265647335,17,0,0,NA,NA,"MidAtlantic","Non-active leases"
"WILDWOOD, NJ",0.0776,0.0244,0.1577,15,1065055.53783784,422940.668447758,17,2,0,NA,1,"MidAtlantic","Non-active leases"
"NEW LONDON, CT",0.0214,3e-04,0.1137,16,902725.207042254,145557.170837621,17,1,0,1,NA,"NewEngland","Non-active leases"
"FAIRHAVEN, MA",0.0122,9e-04,0.041,17,884706.847887324,172031.362196684,17,0,0,NA,NA,"NewEngland","Non-active leases"
"STONINGTON, CT",0.0205,0.0065,0.0756,16,857434.626760563,194874.152490986,17,1,0,NA,NA,"NewEngland","Non-active leases"
"OTHER CAPE MAY, NJ",0.0216,0.0021,0.085,11,631106.335616438,119826.945336362,17,6,0,NA,NA,"MidAtlantic","Non-active leases"
"MONTAUK, NY",0.0143,0.0069,0.0263,17,594276.944578313,328380.277765332,17,0,0,NA,1,"MidAtlantic","Non-active leases"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0192,0.007,0.0282,16,552557.654054054,317894.531421954,17,1,0,NA,NA,"NewEngland","Non-active leases"
"CHATHAM, MA",0.0078,0.0011,0.0216,17,464792.159459459,149979.370818477,17,0,0,NA,1,"NewEngland","Non-active leases"
"NEWPORT, RI",0.0221,0.0103,0.0405,17,415778.2,219989.64051391,17,0,0,NA,1,"NewEngland","Non-active leases"
"PORTLAND, ME",0.0057,8e-04,0.0114,17,406323.208974359,199656.517478196,17,0,0,NA,1,"NewEngland","Non-active leases"
"BARNSTABLE, MA",0.0027,0,0.0312,17,378130.871428572,31283.8542687782,17,0,0,NA,NA,"NewEngland","Non-active leases"
"BEAUFORT, NC",0.0104,0.0014,0.0202,16,255815.272727273,106954.635759567,17,1,0,NA,NA,"MidAtlantic","Non-active leases"
"LITTLE COMPTON, RI",0.0255,0.0075,0.0682,17,240883.680263158,93308.7150079547,17,0,0,NA,1,"NewEngland","Non-active leases"
"PROVINCETOWN, MA",0.005,2e-04,0.0247,16,232767.622,51645.3890285168,17,1,0,1,NA,"NewEngland","Non-active leases"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.0811,3e-04,0.2352,16,210756.760810811,86866.8364484198,17,1,0,NA,NA,"MidAtlantic","Non-active leases"
"POINT LOOKOUT, NY",0.0275,0.0063,0.0733,7,161637.82,76342.7892614674,17,10,0,NA,1,"MidAtlantic","Non-active leases"
"WESTPORT, MA",0.0283,0.0075,0.0499,17,147033.639726027,68826.2503491236,17,0,0,NA,NA,"NewEngland","Non-active leases"
"FALL RIVER, MA",0.0242,0.0011,0.0519,9,144943.746478873,61424.6120624007,12,3,5,1,NA,"NewEngland","Non-active leases"
"PORTSMOUTH, NH",0.0017,0,0.0141,12,137068.11686747,15454.7854362509,17,5,0,NA,1,"NewEngland","Non-active leases"
"ENGELHARD, NC",0.0073,0.0025,0.0195,8,127645.077464789,51088.3094069038,17,9,0,1,NA,"MidAtlantic","Non-active leases"
"SEA ISLE CITY, NJ",0.0264,0.0106,0.0532,17,118011.527142857,63070.6707661446,17,0,0,NA,1,"MidAtlantic","Non-active leases"
"INDIAN RIVER, DE",0.1357,0.0562,0.2059,7,117710.451282051,82296.2659921999,17,10,0,NA,1,"MidAtlantic","Non-active leases"
"SHINNECOCK/HAMPTON BAYS, NY",0.0045,0.0021,0.0096,17,112357.301282051,44015.8011308652,17,0,0,1,1,"MidAtlantic","Non-active leases"
"WANCHESE, NC",0.0032,0.0014,0.0066,17,106474.731325301,58225.1587857403,17,0,0,NA,NA,"MidAtlantic","Non-active leases"
"CHINCOTEAGUE, VA",0.0123,0.0056,0.0243,15,102030.12631579,53495.3911665928,17,2,0,NA,1,"MidAtlantic","Non-active leases"
"TIVERTON, RI",0.0179,2e-04,0.0724,14,77052.5857142857,15567.9357369253,17,3,0,NA,NA,"NewEngland","Non-active leases"
"ROCKLAND, ME",0.0016,2e-04,0.0066,13,76326.3242857143,25122.765194071,16,3,1,NA,NA,"NewEngland","Non-active leases"
"SANDWICH, MA",0.0022,0,0.0115,17,58051.9142857143,13010.2872295742,17,0,0,NA,1,"NewEngland","Non-active leases"
"BRIELLE, NJ",0.02,0.0101,0.0409,5,51050.15,16245.7884131736,10,5,7,NA,1,"MidAtlantic","Non-active leases"
"HARWICHPORT, MA",0.0031,1e-04,0.0102,17,44915.3416666667,13398.3858594474,17,0,0,NA,1,"NewEngland","Non-active leases"
"BELFORD, NJ",0.0069,0.0034,0.0114,14,41930.1128205128,21350.1399482601,17,3,0,NA,1,"MidAtlantic","Non-active leases"
"ORIENTAL, NC",0.0038,5e-04,0.0125,12,36475.465060241,19365.4530872016,17,5,0,NA,1,"MidAtlantic","Non-active leases"
"PORT CLYDE, ME",0.0012,2e-04,0.0026,15,34686.354054054,13995.7431807633,17,2,0,NA,1,"NewEngland","Non-active leases"
"CHILMARK, MA",0.0127,0.0052,0.0259,17,31584.918,19923.2341070658,17,0,0,NA,1,"NewEngland","Non-active leases"
"NEW BEDFORD, MA",0.0241,0.0093,0.0578,17,24512306.6492958,10654489.1301199,17,0,0,1,1,"NewEngland","All leases"
"CAPE MAY, NJ",0.0574,0.0246,0.112,17,12039171.5676056,5032069.77566525,17,0,0,NA,1,"MidAtlantic","All leases"
"NEWPORT NEWS, VA",0.0522,0.0089,0.1456,17,9141430.42535211,2152225.42494221,17,0,0,1,NA,"MidAtlantic","All leases"
"ATLANTIC CITY, NJ",0.158,0.0256,0.2372,17,8053248.61428571,3952550.92977159,17,0,0,1,NA,"MidAtlantic","All leases"
"BARNEGAT LIGHT, NJ",0.0925,0.0249,0.1764,17,5768889.74415584,2987523.25831966,17,0,0,NA,1,"MidAtlantic","All leases"
"POINT JUDITH, RI",0.0433,0.0295,0.0766,17,5470743.31666666,2751751.58590336,17,0,0,NA,1,"NewEngland","All leases"
"POINT PLEASANT, NJ",0.0584,0.0389,0.1021,17,3396489.102,2025731.13240528,17,0,0,NA,NA,"MidAtlantic","All leases"
"GLOUCESTER, MA",0.0236,0.0184,0.036,17,2241154.22978723,1578520.29576646,17,0,0,NA,NA,"NewEngland","All leases"
"HAMPTON, VA",0.0383,0.0102,0.0894,17,1831963.90857143,711609.524254344,17,0,0,NA,NA,"MidAtlantic","All leases"
"BOSTON, MA",0.0647,0.0484,0.0973,17,1624070.232,1327064.60370165,17,0,0,1,1,"NewEngland","All leases"
"LITTLE COMPTON, RI",0.1568,0.1057,0.2913,17,1225677.76081081,585723.825290726,17,0,0,NA,1,"NewEngland","All leases"
"OCEAN CITY, MD",0.039,0.0212,0.0856,17,1169228.46478873,342217.276140634,17,0,0,NA,NA,"MidAtlantic","All leases"
"POINT LOOKOUT, NY",0.0708,0.0124,0.1958,12,1096581.29142857,181061.480518966,17,5,0,NA,1,"MidAtlantic","All leases"
"WILDWOOD, NJ",0.0819,0.0244,0.1662,15,1068453.90405405,445576.692175566,17,2,0,NA,1,"MidAtlantic","All leases"
"STONINGTON, CT",0.0309,0.0097,0.0836,16,948892.174647887,289587.213299987,17,1,0,NA,NA,"NewEngland","All leases"
"NEW LONDON, CT",0.031,0.0012,0.1186,16,941183.294366197,201666.603584707,17,1,0,1,NA,"NewEngland","All leases"
"FAIRHAVEN, MA",0.0172,0.0033,0.0555,17,911214.676056338,214496.05031383,17,0,0,NA,NA,"NewEngland","All leases"
"NEWPORT, RI",0.0418,0.0261,0.0562,17,807014.878378378,434606.489428786,17,0,0,NA,1,"NewEngland","All leases"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0236,0.0074,0.0361,16,708275.562162162,390316.678761322,17,1,0,NA,NA,"NewEngland","All leases"
"MONTAUK, NY",0.0213,0.0157,0.0307,17,692769,489956.0413318,17,0,0,NA,1,"MidAtlantic","All leases"
"OTHER CAPE MAY, NJ",0.0232,0.0022,0.0929,11,689800.571232877,126800.997293905,17,6,0,NA,NA,"MidAtlantic","All leases"
"CHATHAM, MA",0.0092,0.0011,0.0225,17,483954.702702703,174425.725317431,17,0,0,NA,1,"NewEngland","All leases"
"BARNSTABLE, MA",0.0033,0,0.0374,17,453914.998979592,37990.365387275,17,0,0,NA,NA,"NewEngland","All leases"
"PORTLAND, ME",0.0057,9e-04,0.0114,17,407416.634615385,200799.505439735,17,0,0,NA,1,"NewEngland","All leases"
"BEAUFORT, NC",0.0122,0.0014,0.0249,16,314650.028409091,127473.732880441,17,1,0,NA,NA,"MidAtlantic","All leases"
"WESTPORT, MA",0.0842,0.0448,0.169,17,301687.612820513,184235.241630147,17,0,0,NA,NA,"NewEngland","All leases"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.1053,3e-04,0.2959,16,286583.695945946,115092.750777178,17,1,0,NA,NA,"MidAtlantic","All leases"
"PROVINCETOWN, MA",0.0052,2e-04,0.026,16,245255.421,53587.096792949,17,1,0,1,NA,"NewEngland","All leases"
"SHINNECOCK/HAMPTON BAYS, NY",0.0098,0.0024,0.0263,17,231418.557142857,95334.5437442111,17,0,0,1,1,"MidAtlantic","All leases"
"FALL RIVER, MA",0.0369,0.0038,0.0684,9,192328.963380282,89042.6589840728,12,3,5,1,NA,"NewEngland","All leases"
"ENGELHARD, NC",0.0084,0.0028,0.0229,8,149462.098591549,57669.6604180873,17,9,0,1,NA,"MidAtlantic","All leases"
"BELFORD, NJ",0.0165,0.0099,0.0386,15,138287.918571429,50774.0881772611,17,2,0,NA,1,"MidAtlantic","All leases"
"PORTSMOUTH, NH",0.0018,0,0.0142,12,137592.248192771,15873.8604765057,17,5,0,NA,1,"NewEngland","All leases"
"WANCHESE, NC",0.0036,0.0015,0.0077,17,134948.119480519,65961.0385149952,17,0,0,NA,NA,"MidAtlantic","All leases"
"TIVERTON, RI",0.0455,8e-04,0.1255,14,134457.113513513,38687.8797154439,17,3,0,NA,NA,"NewEngland","All leases"
"CHINCOTEAGUE, VA",0.0163,0.0059,0.0493,15,132576.582894737,66225.7445908781,17,2,0,NA,1,"MidAtlantic","All leases"
"OTHER NASSAU, NY",0.029,0.0017,0.1132,6,127895.46,45587.7187609614,14,8,3,NA,NA,"MidAtlantic","All leases"
"SEA ISLE CITY, NJ",0.0265,0.0109,0.0532,17,118011.527142857,63229.0477246603,17,0,0,NA,1,"MidAtlantic","All leases"
"INDIAN RIVER, DE",0.1358,0.0565,0.2059,7,117710.451282051,82372.8608614151,17,10,0,NA,1,"MidAtlantic","All leases"
"HARWICHPORT, MA",0.0056,1e-04,0.0281,17,80050.9714285714,21084.8944235036,17,0,0,NA,1,"NewEngland","All leases"
"ROCKLAND, ME",0.0017,2e-04,0.0066,13,76326.3242857143,27744.1791238933,16,3,1,NA,NA,"NewEngland","All leases"
"CHILMARK, MA",0.03,0.0104,0.0495,17,70150.4219512195,47252.9344641467,17,0,0,NA,1,"NewEngland","All leases"
"SANDWICH, MA",0.0024,0,0.0123,17,62391.8042857143,14085.696899994,17,0,0,NA,1,"NewEngland","All leases"
"BRIELLE, NJ",0.0266,0.0101,0.0475,5,58174.3243243243,20282.547739878,10,5,7,NA,1,"MidAtlantic","All leases"
"WOODS HOLE, MA",0.01,5e-04,0.0401,8,55736.1225352113,12578.8113508368,17,9,0,NA,1,"NewEngland","All leases"
"SOUTH KINGSTOWN, RI",0.0558,0.0143,0.1183,5,44016.7835616438,21999.4932124603,17,12,0,NA,NA,"NewEngland","All leases"
"ORIENTAL, NC",0.0042,6e-04,0.0144,12,40520.7855421687,21850.3634448812,17,5,0,NA,1,"MidAtlantic","All leases"
"PORT CLYDE, ME",0.0012,2e-04,0.0026,15,34686.354054054,14000.8329140966,17,2,0,NA,1,"NewEngland","All leases"
"SCITUATE, MA",0.002,0,0.0043,13,25753.6267605634,11138.8226495396,17,4,0,NA,1,"NewEngland","All leases"
"EAST HAVEN, CT",0.009,0.0013,0.018,8,25220.8488636364,10213.775610809,16,8,1,NA,NA,"NewEngland","All leases"
