section_name,line_number,ref_key,context
Preamble,1375,fig:advection-index,\href{https://noaa-edab.github.io/catalog/advection.html}{advection index} (Fig. \ref{fig:advection-index}
Preamble,1606,fig:slopesea-bottom,surface conditions (Fig. \ref{fig:slopesea-bottom}
Preamble,1630,fig:chl-anom-apr,of 2025 (Fig. \ref{fig:chl-anom-apr}
